"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"7",1,1,"ABDOMEN",0.649896801182409,0.64845604727781,0.639281170626444,71.9670803459987,1431.84093843982,735.598051248267,1442.34471307146,20.0509327882223,20.0495910951052,0.355866214435988,0.0821787034212328
"4",2,1,"ADIPOSITY",0.501328562541786,0.499276416708624,0.48016758275397,204.776400673658,1518.50220911136,821.015024312351,1529.00598374299,28.5596575799651,28.5577465319153,0.50688002079086,0.117051693049139
"6",3,1,"CHEST",0.477650154668858,0.475500566827989,0.469711764257467,225.94319436266,1529.86779053643,832.234824707204,1540.37156516807,29.9157553431265,29.9137535528128,0.530948196694617,0.122609656714276
"8",4,1,"HIP",0.377548421077097,0.374986891945727,0.35934340768088,315.4269448842,1572.82321797737,874.678067011902,1583.32699260901,35.6487310457526,35.646345637673,0.632697695448382,0.146106244876198
"2",5,1,"WEIGHT",0.367671782025272,0.36506960828875,0.35255297970615,324.255949869361,1576.68019200383,878.492039949342,1587.18396663546,36.2143809069093,36.2119576487938,0.642736912920814,0.148424559573635
"9",6,1,"THIGH",0.31147942301284,0.308646005000548,0.300451629972352,374.487877476048,1597.53866214832,899.126345851942,1608.04243677995,39.432601184745,39.4299625818353,0.699854249036331,0.161614428222131
"10",7,1,"KNEE",0.274054303518819,0.271066872669102,0.263531841154155,407.943242691795,1610.506514446,911.961859952755,1621.01028907763,41.5759936418839,41.5732116154767,0.737895419880048,0.170399117438883
"12",8,1,"BICEPS",0.236462159190926,0.233320028158789,0.223945916854725,441.54791609661,1622.8759450687,924.209968068494,1633.37971970034,43.7289518605731,43.7260257705828,0.776106364937619,0.179223011908067
"5",9,1,"NECK",0.233378706786062,0.230223886649379,0.22102872717045,444.304300784883,1623.86335460663,925.18789642766,1634.36712923826,43.9055457824065,43.9026078757665,0.77924057376067,0.179946781703797
"13",10,1,"FOREARM",0.130592089384941,0.127014279053192,0.114000458327767,536.18814433534,1654.68912934207,955.732408701067,1665.1929039737,49.7922887884663,49.7889569748366,0.883719151942056,0.204073584816726
